0.000000;1794699095;0;-0620;00556;16104;00069;-0046;-0020;000;000;000;1073707241;8437785;-918986;-1492125;0.900640;0.096821;0.120006
0.000000;1794699151;0;-0524;00800;15874;-0047;-0031;-0011;000;000;000;1073691577;10095555;-1363279;-2030962;1.077707;0.143447;0.133579
0.000000;1794699205;0;-0544;00778;16084;00021;-0044;-0005;000;000;000;1073697656;9349600;-1692634;-2137388;0.998179;0.178647;0.108857
0.000000;1794699260;0;-0446;00464;16018;-0004;-0024;-0011;000;000;000;1073688924;10256363;-1829472;-2249351;1.095004;0.192942;0.090822
0.000000;1794699314;0;-0464;00526;16002;00059;-0032;-0026;000;000;000;1073679848;11066357;-1908746;-2642350;1.181545;0.200787;0.099746
0.000000;1794699369;0;-0488;00782;16240;-0032;-0022;00011;000;000;000;1073663690;12384314;-2283583;-3033344;1.322396;0.239957;0.106634
0.000000;1794699423;0;-0578;00650;16516;-0020;-0015;-0006;000;000;000;1073668130;12102289;-1915736;-2849080;1.292148;0.201010;0.064848
0.000000;1794699477;0;-0466;00598;16250;-0037;-0027;00007;000;000;000;1073667219;12189785;-1861494;-2855155;1.301472;0.195189;0.049085
0.000000;1794699532;0;-0478;00788;16292;00057;-0030;-0023;000;000;000;1073651279;13446756;-1967344;-3122790;1.435710;0.205767;0.058512
0.000000;1794699586;0;-0310;00858;15900;00007;-0030;-0012;000;000;000;1073643839;13880645;-2361560;-3487469;1.482229;0.247196;0.073542
0.000000;1794699644;0;-0432;00588;16152;-0027;-0035;00016;000;000;000;1073617252;15732107;-3084549;-3238622;1.680023;0.324088;0.036409
0.000000;1794699699;0;-0440;00606;16076;00065;-0010;-0019;000;000;000;1073602178;16770434;-2813410;-3272103;1.790767;0.294760;0.029882
0.000000;1794699752;0;-0398;00962;16186;00096;-0034;-0029;000;000;000;1073566903;18763711;-2906818;-3883711;2.003728;0.302929;0.071899
0.000000;1794699807;0;-0434;00780;16102;00001;-0035;00000;000;000;000;1073545083;19903876;-3187412;-4016926;2.125582;0.332159;0.065244
0.000000;1794699861;0;-0316;00856;16070;-0008;-0019;-0007;000;000;000;1073529804;20620590;-3378424;-4317700;2.202264;0.351633;0.073463
0.000000;1794699916;0;-0444;00820;16226;-0003;-0032;00003;000;000;000;1073529060;20673298;-3363790;-4261476;2.207865;0.350164;0.050588
0.000000;1794699970;0;-0366;00880;16424;-0006;-0018;-0002;000;000;000;1073544123;19927188;-3161420;-4175406;2.128109;0.329062;0.030569
0.000000;1794700025;0;-0442;00514;16170;-0017;-0040;-0003;000;000;000;1073549527;19604760;-3312864;-4194813;2.093764;0.345319;0.024628
0.000000;1794700079;0;-0408;00766;15710;00061;-0043;-0010;000;000;000;1073516303;21189848;-3847873;-4520851;2.263315;0.401047;0.045792
0.000000;1794700133;0;-0414;00836;15898;-0023;-0015;00002;000;000;000;1073513403;21333514;-3852591;-4529534;2.278656;0.401467;0.035087
0.000000;1794700191;0;-0466;00722;15832;00027;-0038;00001;000;000;000;1073511868;21394866;-4024592;-4453985;2.285256;0.419952;0.020561
0.000000;1794700246;0;-0452;00256;16206;00000;-0032;-0012;000;000;000;1073517274;21072237;-4032911;-4675858;2.250908;0.420520;0.033095
